signal_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-18T00:00:05.655Z,TRX/BTC,TRX,BTC,kucoin,exmo,1.00000000,0.00000161,0.00000000,0.1000,97800.03220000,0.15745805,0.00147971,0.9398,0.4371
2019-09-18T00:00:36.053Z,XMR/BTC,XMR,BTC,binance,kraken,0.10000000,0.00072732,0.00000001,0.1000,16.50100000,0.11944274,0.00014068,0.1178,-0.351
2019-09-18T00:01:35.899Z,TRX/BTC,TRX,BTC,kucoin,bittrex,134.40860215,0.00021919,0.00000000,0.1000,803624.03430000,1.30095249,0.00502255,0.3861,1.0055
2019-09-18T00:01:35.900Z,TRX/ETH,TRX,ETH,kucoin,gateio,1.00000000,0.00007856,0.00000008,0.1000,16161.13176116,1.26963742,0.01919377,1.5118,1.608
2019-09-18T00:01:35.900Z,TRX/BTC,TRX,BTC,kucoin,hitbtc2,1.00000000,0.00000164,0.00000000,0.1000,596875.00000000,0.96833086,0.00681419,0.7037,-0.0056
2019-09-18T00:01:35.901Z,TRX/ETH,TRX,ETH,kucoin,bittrex,50.83367222,0.00406785,0.00000008,0.1000,71094.75670000,5.60415809,0.06521625,1.1637,1.5224
2019-09-18T00:01:35.901Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,0.01635271,0.00001635,0.1000,222107.77140000,3632.06286516,66.77709793,1.8385,1.997
2019-09-18T00:01:35.902Z,TRX/USDT,TRX,USDT,kucoin,gateio,1.00000000,0.01635271,0.00001635,0.1000,149551.78929503,2445.57629341,41.25267893,1.6868,1.6027
2019-09-18T00:01:35.902Z,TRX/USDT,TRX,USDT,kucoin,bittrex,134.46559339,2.24322813,0.00001635,0.1000,222107.77140000,3632.06286516,60.36435092,1.6620,1.3545
2019-09-18T00:01:35.901Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00008007,0.00000008,0.1000,71094.75670000,5.60415809,0.07123629,1.2711,0.8831
2019-09-18T00:01:35.902Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01669011,0.00001635,0.1000,210385.88120000,3439.22016634,61.68159293,1.7935,-0.0943
2019-09-18T00:02:06.164Z,TRX/BTC,TRX,BTC,kucoin,exmo,1.00000000,0.00000161,0.00000000,0.1000,72710.68520000,0.11706420,0.00110011,0.9398,0.4371
2019-09-18T00:03:35.918Z,DASH/BTC,DASH,BTC,kraken,binance,0.03000000,0.00028743,0.00000029,0.1000,27.02800000,0.25895294,0.00029427,0.1136,-0.4359
2019-09-18T00:03:35.920Z,TRX/BTC,TRX,BTC,kucoin,bittrex,134.40860215,0.00021956,0.00000000,0.1000,783459.71310000,1.26876426,0.00655570,0.5167,1.0055
2019-09-18T00:03:35.920Z,TRX/ETH,TRX,ETH,kucoin,gateio,1.00000000,0.00007860,0.00000008,0.1000,16877.76176116,1.32662172,0.01821100,1.3727,1.7966
2019-09-18T00:03:35.920Z,TRX/BTC,TRX,BTC,kucoin,hitbtc2,1.00000000,0.00000164,0.00000000,0.1000,431722.00000000,0.70101230,0.00650731,0.9283,0.2916
2019-09-18T00:03:35.921Z,TRX/ETH,TRX,ETH,kucoin,bittrex,50.83367222,0.00407021,0.00000008,0.1000,40002.64840000,3.14547858,0.04634672,1.4734,1.546
2019-09-18T00:03:35.921Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,0.01640001,0.00001640,0.1000,84582.97990000,1387.16133556,26.61634669,1.9188,1.9525
2019-09-18T00:03:35.921Z,TRX/USDT,TRX,USDT,kucoin,gateio,1.00000000,0.01640001,0.00001640,0.1000,84582.97990000,1387.16133556,24.06827943,1.7351,1.6195
2019-09-18T00:03:35.921Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00008013,0.00000008,0.1000,40002.64840000,3.14547858,0.05032285,1.5998,0.894
2019-09-18T00:03:35.922Z,TRX/USDT,TRX,USDT,kucoin,bittrex,134.46559339,2.25039814,0.00001640,0.1000,84582.97990000,1387.16133556,23.48198969,1.6928,1.3645
2019-09-18T00:03:35.922Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01675825,0.00001644,0.1000,20799.95470000,342.01473902,5.51688389,1.6131,-0.027
2019-09-18T00:03:46.209Z,ONT/USDT,ONT,USDT,hitbtc2,kucoin,0.10000000,0.07900000,0.00007900,0.1000,2.10000000,1.65900000,0.00278523,0.1679,-0.4121
2019-09-18T00:03:55.642Z,XMR/BTC,XMR,BTC,binance,kraken,0.10000000,0.00072735,0.00000001,0.1000,25.34300000,0.18348182,0.00018888,0.1029,-0.3787
2019-09-18T00:04:05.669Z,TRX/BTC,TRX,BTC,kucoin,exmo,1.00000000,0.00000161,0.00000000,0.1000,44031.58310000,0.07089085,0.00066620,0.9398,0.4371
