signal_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-19T00:00:04.195Z,LINK/USDT,LINK,USDT,hitbtc2,gateio,0.01000000,1.00000000,0.00001788,0.1000,3.50000000,6.25971500,0.01516557,0.2423,-0.7262
2019-09-19T00:00:14.642Z,CRO/BTC,CRO,BTC,kucoin,bittrex,63.45177665,0.00010000,0.00000000,0.1000,92.14610000,0.00035254,0.00000248,0.7040,0.223
2019-09-19T00:00:33.927Z,TRX/BTC,TRX,BTC,kucoin,binance,1.00000000,0.00010000,0.00000000,0.1000,145608.07740000,0.25330289,0.00137662,0.5435,1.029
2019-09-19T00:00:33.927Z,TRX/BTC,TRX,BTC,kucoin,bittrex,134.40860215,0.00010000,0.00000000,0.1000,122624.68850000,0.21331179,0.00075956,0.3561,0.8765
2019-09-19T00:00:33.928Z,TRX/ETH,TRX,ETH,kucoin,binance,1.00000000,0.01000000,0.00000008,0.1000,7158.90210000,0.59738722,0.00908634,1.5210,1.5729
2019-09-19T00:00:33.927Z,TRX/BTC,TRX,BTC,kucoin,hitbtc2,1.00000000,0.00001000,0.00000000,0.1000,462178.00000000,0.80798828,0.00354183,0.4384,-0.0265
2019-09-19T00:00:33.928Z,TRX/ETH,TRX,ETH,kucoin,gateio,1.00000000,0.00100000,0.00000008,0.1000,7158.90210000,0.59738722,0.00827188,1.3847,1.5154
2019-09-19T00:00:33.928Z,TRX/ETH,TRX,ETH,kucoin,bittrex,50.83367222,0.00010000,0.00000008,0.1000,7158.90210000,0.59738722,0.00881188,1.4751,1.4881
2019-09-19T00:00:33.929Z,TRX/USDT,TRX,USDT,kucoin,binance,1.00000000,10.00000000,0.00001755,0.1000,78818.26740000,1383.33190798,22.45666926,1.6234,1.6598
2019-09-19T00:00:33.929Z,TRX/USDT,TRX,USDT,kucoin,gateio,1.00000000,1.00000000,0.00001755,0.1000,78818.26740000,1383.33190798,20.73921690,1.4992,1.3879
2019-09-19T00:00:33.928Z,TRX/ETH,TRX,ETH,kucoin,hitbtc2,1.00000000,0.00010000,0.00000008,0.1000,7158.90210000,0.59738722,0.00971176,1.6257,0.8509
2019-09-19T00:00:33.929Z,TRX/USDT,TRX,USDT,kucoin,bittrex,134.46559339,0.01000000,0.00001755,0.1000,79509.97790000,1395.47696094,19.75191647,1.4154,1.1004
2019-09-19T00:00:33.929Z,TRX/USDT,TRX,USDT,kucoin,hitbtc2,1.00000000,0.01000000,0.00001763,0.1000,10.00000000,0.17626885,0.00214338,1.2160,-0.2695
2019-09-19T00:01:04.268Z,XMR/ETH,XMR,ETH,exmo,binance,0.01000000,0.01000000,0.00000384,0.1000,1.00893130,0.38751902,0.00136037,0.3510,0.4817
2019-09-19T00:01:04.265Z,TRX/BTC,TRX,BTC,kucoin,exmo,1.00000000,0.00100000,0.00000000,0.1000,116366.86170000,0.20242318,0.00061075,0.3017,0.9273
2019-09-19T00:01:04.268Z,XMR/ETH,XMR,ETH,exmo,kucoin,0.01000000,0.00100000,0.00000383,0.1000,0.11031806,0.04225182,0.00018403,0.4356,-0.0702
2019-09-19T00:01:14.184Z,DASH/ETH,DASH,ETH,bittrex,binance,0.01052392,0.01000000,0.00000490,0.1000,0.22008034,0.10246927,0.00016036,0.1565,-0.5633
